,symbol,company_name,industry,market_cap
0,A,Agilent Technologies,Life Sciences Tools & Services,35830000000.0
1,AA,Alcoa,Metals & Mining,10760000000.0
2,AAC,Ares Acquisition,Blank Check / SPAC,1220000000.0
3,AACG,ATA Creativity Global,Diversified Consumer Services,33180000.0
4,AACI,Armada Acquisition I,Blank Check / SPAC,203990000.0
5,AADI,Aadi Bioscience,Biotechnology,293610000.0
6,AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trust...,102120000.0
7,AAL,American Airlines Group,Airlines,11170000000.0
8,AAMC,Altisource Asset Management,Real Estate Management & Development,22680000.0
9,AAME,Atlantic American,Insurance,60120000.0
10,AAN,The Aaron's Company,Specialty Retail,613870000.0
11,AAOI,Applied Optoelectronics,Communications Equipment,64390000.0
12,AAON,"AAON, Inc.",Building Products,2830000000.0
13,AAP,Advance Auto Parts,Specialty Retail,12900000000.0
14,AAPL,Apple,"Technology Hardware, Storage & Periph...",381000000000.0
15,AAQC,Accelerate Acquisition,Blank Check / SPAC,487000000.0
16,AAT,American Assets Trust,Equity Real Estate Investment Trusts ...,2520000000.0
17,AATC,Autoscope Technologies,Scientific & Technical Instruments,30870000.0
18,AAU,Almaden Minerals,Metals & Mining,39730000.0
19,AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,1980000000.0
20,AB,AllianceBernstein Holding,Capital Markets,3800000000.0
21,ABB,ABB Ltd,Electrical Equipment,58140000000.0
22,ABBV,AbbVie,Biotechnology,271250000000.0
23,ABC,AmerisourceBergen,Health Care Providers & Services,32020000000.000004
24,ABCB,Ameris Bancorp,Banks,2970000000.0
25,ABCL,AbCellera Biologics,Biotechnology,2060000000.0
26,ABCM,Abcam,Biotechnology,3080000000.0
27,ABEO,Abeona Therapeutics,Biotechnology,23860000.0
28,ABEV,Ambev,Beverages,45010000000.0
29,ABG,Asbury Automotive Group,Specialty Retail,4250000000.0
30,ABGI,ABG Acquisition I,Blank Check / SPAC,189460000.0
31,ABIO,ARCA biopharma,Biotechnology,33000000.0
32,ABM,ABM Industries,Commercial Services & Supplies,2960000000.0
33,ABMD,Abiomed,Health Care Equipment & Supplies,11580000000.0
34,ABNB,Airbnb,"Hotels, Restaurants & Leisure",78420000000.0
35,ABOS,Acumen Pharmaceuticals,Biotechnology,134850000.0
36,ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trust...,2700000000.0
37,ABSI,Absci,Biotechnology,355600000.0
38,ABST,Absolute Software,Software-Application,425650000.0
39,ABT,Abbott Laboratories,Health Care Equipment & Supplies,192390000000.0
40,ABTX,Allegiance Bancshares,Banks,815400000.0
41,ABUS,Arbutus Biopharma,Biotechnology,343560000.0
42,ABVC,ABVC BioPharma,Biotechnology,67890000.0
43,AC,Associated Capital Group,Capital Markets,872930000.0
44,ACA,Arcosa,Construction & Engineering,2520000000.0
45,ACAB,Atlantic Coastal Acquisition II,Blank Check / SPAC,297900000.0
46,ACAD,ACADIA Pharmaceuticals,Biotechnology,2720000000.0
47,ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,420470000.0
48,ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,321740000.0
49,ACAX,Alset Capital Acquisition,Blank Check / SPAC,104600000.0
50,ACB,Aurora Cannabis,Pharmaceuticals,609960000.0
51,ACBA,Ace Global Business Acquisition,Blank Check / SPAC,61990000.0
52,ACC,American Campus Communities,Equity Real Estate Investment Trusts ...,17940000000.0
53,ACCD,Accolade,Health Care Technology,413860000.0
54,ACCO,ACCO Brands,Commercial Services & Supplies,712850000.0
55,ACDI,Ascendant Digital Acquisition III,Blank Check / SPAC,374250000.0
56,ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1050000000.0
57,ACER,Acer Therapeutics,Pharmaceuticals,29700000.0
58,ACET,Adicet Bio,Health Care Providers & Services,473250000.0
59,ACEV,ACE Convergence Acquisition,Blank Check / SPAC,138690000.0
60,ACGL,Arch Capital Group,Insurance,17290000000.0
61,ACH,Aluminum Corporation of China,Metals & Mining,10730000000.0
62,ACHC,Acadia Healthcare Company,Health Care Providers & Services,6390000000.0
63,ACHL,Achilles Therapeutics,Biotechnology,86550000.0
64,ACHR,Archer Aviation,Aerospace & Defense,962180000.0
65,ACHV,Achieve Life Sciences,Biotechnology,62910000.0
66,ACI,Albertsons Companies,Grocery Stores,15670000000.0
67,ACII,Atlas Crest Investment II,Blank Check / SPAC,421330000.0
68,ACIU,AC Immune,Biotechnology,249600000.0
69,ACIW,ACI Worldwide,Software,2960000000.0
70,ACKIT,Ackrell SPAC Partners I Co.,Blank Check / SPAC,156570000.0
71,ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,1940000000.0
72,ACLX,Arcellx,Biotechnology,318410000.0
73,ACM,AECOM,Construction & Engineering,9410000000.0
74,ACMR,ACM Research,Semiconductors & Semiconductor Equipment,840790000.0
75,ACN,Accenture,IT Services,181790000000.0
76,ACNB,ACNB Corporation,Banks,284200000.0
77,ACON,Aclarion,Health Information Services,11420000.0
78,ACOR,Acorda Therapeutics,Biotechnology,9690000.0
79,ACQR,Independence Holdings,Blank Check / SPAC,608550000.0
80,ACR,ACRES Commercial Realty,Mortgage Real Estate Investment Trust...,100740000.0
81,ACRE,Ares Commercial Real Estate,Mortgage Real Estate Investment Trust...,713950000.0
82,ACRO,Acropolis Infrastructure Acquisition,Blank Check / SPAC,416590000.0
83,ACRS,Aclaris Therapeutics,Pharmaceuticals,709100000.0
84,ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,30840000.0
85,ACST,Acasti Pharma,Pharmaceuticals,41140000.0
86,ACT,Enact Holdings,Insurance-Specialty,3820000000.0
87,ACTD,ArcLight Clean Transition II,Blank Check / SPAC,383900000.0
88,ACTG,Acacia Research,Professional Services,207740000.0
89,ACU,Acme United,Commercial Services & Supplies,115130000.0
90,ACVA,ACV Auctions,Software-Application,1400000000.0
91,ACXP,Acurx Pharmaceuticals,Biotechnology,29100000.0
92,ADAG,Adagene,Biotechnology,140800000.0
93,ADAL,Anthemis Digital Acquisitions I,Blank Check / SPAC,300370000.0
94,ADAP,Adaptimmune Therapeutics,Biotechnology,228230000.0
95,ADBE,Adobe,Software,191580000000.0
96,ADC,Agree Realty,Equity Real Estate Investment Trusts ...,5160000000.0
